Cod_Suer,ESTADO,ZAE,ZC,Suer,Edad,Variedad,Sac,Rend,Fecha,CICLO,Fecha_Cierre,TCH_REAL,Cort_Act,TCHM_R,Area_Actual,Cana_Ent,Ano,Mes,F_C_Ant,30_DAC,PST_0-4_Meses,PRC_4-9_Meses,0-15_DDC,16-30_DDC,31-45_DDC,46-60_DDC,61-75_DDC,76-90_DDC,91-105_DDC,106-120_DDC,121-135_DDC,136-150_DDC,151-165_DDC,166-180_DDC,181-195_DDC,196-210_DDC,211-225_DDC,226-240_DDC,241-255_DDC,256-270_DDC,271-285_DDC,30_DAC_Act
001_001,SOCA,10H5,6,1,12.02,CC011940,16.11,11.074,13/11/2018,2,20/11/2018,103.91,3,8.645,2.42,251.5,2018,11,17/11/2017,182,490,605,50,59,70,45,9,128,126,3,182,90,13,73,99,77,10,11,9,3,47,136
001_001,SOCA,10H5,6,1,11.7,CC011940,14.35,9.411,10/11/2017,2,14/11/2017,126.93,2,10.849,2.42,307.2,2017,11,24/11/2016,70,474,516,45,42,45,76,0,30,69,167,43,72,66,136,0,98,9,18,9,3,71,119
001_001,PLANTILLA,10H5,6,1,10.97,CC011940,16.369,11.522,20/11/2016,2,21/11/2016,129.25,1,11.782,2.42,312.8,2016,11,26/12/2015,7,247,285,6,2,6,47,72,27,48,39,124,8,73,1,23,7,2,5,2,4,38,107
001_001,SOCA,10H5,6,1,12.35,VARIEDADESEXP.,16.11,11.47,10/11/2015,1,18/11/2015,108.31,5,8.77,2.4,259.9,2015,11,4/11/2014,183,351,501,15,14,15,15,36,78,77,101,91,64,188,45,7,13,16,4,16,21,52,185
001_001,SOCA,10H5,6,1,16.56,VARIEDADESEXP.,18.82,13.463,26/09/2012,1,2/10/2012,95.97,2,5.795,0.4,38.4,2012,9,18/05/2011,239,296,1067,10,20,10,104,34,0,60,58,27,158,106,170,69,112,116,30,138,197,82,47
001_001,SOCA,10H5,6,1,10.68,CC8592,16.21,10.67,14/01/2010,0,19/01/2010,83.87,7,7.853,2.66,223.1,2010,1,27/02/2009,144,696,476,110,203,110,55,80,21,72,45,42,3,0,30,38,74,2,138,2,70,79,65
001_001,SOCA,10H5,6,1,12.75,CC8592,15.555,11.066,24/02/2009,0,27/02/2009,92.57,6,7.26,2.66,246.2,2009,2,7/02/2008,51,882,564,94,52,94,106,154,150,80,152,29,13,47,39,54,86,13,88,21,65,130,166
001_001,SOCA,10H5,6,1,11.27,CC8592,15.2,10.72,1/02/2008,0,12/02/2008,101.75,5,9.028,2.66,270.7,2008,2,27/02/2007,35,750,812,126,141,126,90,26,155,75,11,84,75,18,92,34,38,119,101,116,178,73,102
001_001,SOCA,10H5,6,1,11.6,CC8592,16.081,11.287,21/06/2006,0,30/06/2006,114.79,3,9.896,2.66,305.4,2006,6,8/07/2005,32,245,965,0,22,0,6,8,71,73,65,125,101,128,68,87,59,78,27,78,155,137,117
001_001,SOCA,10H5,6,1,13.14,CC8592,14.886,10.048,2/07/2005,0,27/07/2005,109.11,2,8.304,2.66,290.2,2005,7,2/06/2004,129,104,839,5,24,5,14,0,20,3,33,103,97,178,127,64,23,84,85,84,75,3,42
001_001A,SOCA,10H5,6,001A,14,VARIEDADESEXP.,17.24,12.265,30/10/2014,1,5/11/2014,121.92,4,8.709,1.8,219.5,2014,10,5/09/2013,59,393,521,19,60,19,38,79,132,35,11,64,48,45,115,28,58,25,73,10,39,26,149
001_001A,SOCA,10H5,6,001A,11.1,VARIEDADESEXP.,17.765,12.566,30/08/2013,1,23/09/2013,92.06,3,8.293,1.8,165.7,2013,8,1/10/2012,47,401,579,48,114,48,69,38,58,0,26,88,22,28,88,33,178,32,69,36,16,25,59
001_001A,SOCA,10H5,6,001A,12.81,VARIEDADESEXP.,16.99,12.124,26/09/2012,1,2/10/2012,90.74,2,7.083,2,181.5,2012,9,7/09/2011,112,887,829,141,66,141,94,153,105,173,14,130,99,69,43,89,33,160,85,107,64,57,47
001_001A,PLANTILLA,10H5,6,001A,14.26,VARIEDADESEXP.,17.003,11.79,3/09/2011,1,6/09/2011,113.82,1,7.982,2,227.6,2011,9,2/07/2010,76,526,1142,40,69,40,3,61,66,83,164,178,188,119,100,66,53,57,136,63,229,16,75
001_002,SOCA,10H5,6,2,9.03,CC011940,14.107,9.61,6/04/2018,1,18/04/2018,105.16,7,11.646,3.4,357.6,2018,4,9/07/2017,96,442,824,79,6,79,5,77,102,15,79,125,26,51,85,32,14,174,76,149,53,188,254
001_002,SOCA,10H5,6,2,11.79,CC011940,15.066,10.685,4/07/2017,1,10/07/2017,134.64,6,11.42,3.4,457.8,2017,7,15/07/2016,25,208,693,5,0,5,27,15,77,44,35,95,134,24,53,68,20,10,136,30,129,24,107
001_002,SOCA,10H5,6,2,12.71,CC011940,14.79,10.446,10/07/2016,1,12/07/2016,126.93,5,9.986,3.4,431.5,2016,7,24/06/2015,21,157,412,21,47,21,0,0,27,19,22,124,72,45,7,0,12,6,0,0,112,34,24
001_002,SOCA,10H5,6,2,11.37,CC011940,17.28,12.482,18/06/2015,1,22/06/2015,129.55,4,11.394,3.4,440.5,2015,6,11/07/2014,4,393,535,56,1,56,25,46,35,102,72,54,4,22,8,96,18,77,103,77,99,54,29
001_002,PLANTILLA,10H5,6,2,12.32,CC011940,17.476,12.462,27/01/2013,1,29/01/2013,111.09,1,9.017,3.4,377.7,2013,1,23/01/2012,207,635,203,50,54,50,88,80,123,126,64,0,71,11,0,0,5,0,0,0,47,69,26
001_002,SOCA,10H5,6,2,10.97,CC8592,16.54,11.31,6/11/2011,0,9/11/2011,70.14,9,6.393,3.31,232.1,2011,11,11/12/2010,405,704,645,43,80,43,57,126,249,16,90,188,103,53,78,0,53,69,26,63,28,47,235
001_002,SOCA,10H5,6,2,11.6,CC8592,15.05,10.82,8/12/2010,0,14/12/2010,98.39,8,8.482,3.31,325.7,2010,12,25/12/2009,130,356,669,29,25,29,9,0,82,63,119,148,55,108,36,85,26,109,0,109,57,45,411
001_002,SOCA,10H5,6,2,12.02,CC8592,15.3,10.67,19/12/2009,0,22/12/2009,113.77,7,9.465,2.59,294.7,2009,12,23/12/2008,189,818,359,86,96,86,95,72,148,112,123,55,45,10,67,85,0,3,7,3,52,35,138
001_002,SOCA,10H5,6,2,12.35,CC8592,15.249,10.362,19/12/2008,0,30/12/2008,107.42,6,8.698,2.59,278.2,2008,12,14/12/2007,120,581,779,31,67,31,16,162,91,107,76,196,100,127,85,36,36,17,44,20,92,46,244
001_002,SOCA,10H5,6,2,9.36,CC8592,15.6,11.254,9/12/2007,0,12/12/2007,76.11,5,8.131,2.59,197.1,2007,12,3/03/2007,35,665,812,131,72,131,87,6,193,42,3,84,87,32,89,15,34,144,112,144,147,68,100
001_002,SOCA,10H5,6,2,11.6,CC8592,16.203,11.369,21/06/2006,0,30/06/2006,101.97,3,8.79,3.51,357.9,2006,6,8/07/2005,32,245,965,0,22,0,6,8,71,73,65,125,101,128,68,87,59,78,27,78,155,137,117
001_002,SOCA,10H5,6,2,12.09,CC8592,14.85,10.03,1/07/2005,0,27/07/2005,104.25,2,8.623,3.51,365.9,2005,7,3/07/2004,37,270,776,0,14,0,20,3,65,71,97,196,109,83,4,84,85,78,2,75,78,57,44
